TimeStamp,Type,Browser,BrowserVer,Os,OsVer,Resolution,Continent,Country,Province,City,Opid,Pid,Sid,IsFirst,Aid
2015-10-02 23:52:27.802000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1280X720,Asia,India,Andhra Pradesh,Visakhapatnam,0CE10CC5-58A9-4061-9F49-147CCC7D0B43,,0D20A629-FC1A-41F3-A7A1-6AEA429352F5,False,79d889cc-d2e4-4a6f-bf2a-78da0560602d
2015-10-02 23:52:27.813000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1280X720,Asia,India,Andhra Pradesh,Visakhapatnam,0CE10CC5-58A9-4061-9F49-147CCC7D0B43,,0D20A629-FC1A-41F3-A7A1-6AEA429352F5,False,79d889cc-d2e4-4a6f-bf2a-78da0560602d
2015-10-02 23:52:27.823000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1280X720,Asia,India,Andhra Pradesh,Visakhapatnam,0CE10CC5-58A9-4061-9F49-147CCC7D0B43,,0D20A629-FC1A-41F3-A7A1-6AEA429352F5,False,79d889cc-d2e4-4a6f-bf2a-78da0560602d
2015-10-02 23:52:27.849000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1280X720,Asia,India,Andhra Pradesh,Visakhapatnam,0CE10CC5-58A9-4061-9F49-147CCC7D0B43,,0D20A629-FC1A-41F3-A7A1-6AEA429352F5,False,79d889cc-d2e4-4a6f-bf2a-78da0560602d
2015-10-02 23:56:48.445000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 7,1280X1024,North America,United States,Washington,Olympia,817497B5-E085-4A16-9B40-5686933ACE30,,3FB0E8C1-55F2-445F-86B1-D775E951FDB2,False,3c8b18db-93af-4d7e-ae14-e6f45f2526d5
2015-10-02 23:57:20.367000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1920X1200,North America,United States,Washington,Seattle,9FBD49B5-85AB-4D90-A453-4C4738DA3E5D,,D83374AD-CCD5-4197-B0CC-63110D471A79,False,bf06c5e4-61e0-4993-9768-7eeeca313917
2015-10-02 23:57:20.363000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1920X1200,North America,United States,Washington,Seattle,9FBD49B5-85AB-4D90-A453-4C4738DA3E5D,,D83374AD-CCD5-4197-B0CC-63110D471A79,False,bf06c5e4-61e0-4993-9768-7eeeca313917
2015-10-02 23:57:20.369000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1920X1200,North America,United States,Washington,Seattle,9FBD49B5-85AB-4D90-A453-4C4738DA3E5D,,D83374AD-CCD5-4197-B0CC-63110D471A79,False,bf06c5e4-61e0-4993-9768-7eeeca313917
2015-10-02 23:57:20.365000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1920X1200,North America,United States,Washington,Seattle,9FBD49B5-85AB-4D90-A453-4C4738DA3E5D,,D83374AD-CCD5-4197-B0CC-63110D471A79,False,bf06c5e4-61e0-4993-9768-7eeeca313917
2015-10-02 23:58:46.311000000,Unexpected token u,Chrome,Chrome 44.0,Windows,Windows 8.1,1920X1080,North America,United States,Pennsylvania,Philadelphia,8943050F-841E-4175-9EAA-B105E4FC7564,,6AEEE331-7153-4A55-A6B3-65536F937514,False,f05898c9-70ab-47e9-9cc2-d37a88d397ab
2015-10-02 23:58:43.224000000,Unexpected token u,Chrome,Chrome 44.0,Windows,Windows 8.1,1920X1080,North America,United States,Pennsylvania,Philadelphia,8943050F-841E-4175-9EAA-B105E4FC7564,,6AEEE331-7153-4A55-A6B3-65536F937514,False,f05898c9-70ab-47e9-9cc2-d37a88d397ab
2015-10-02 23:58:46.316000000,Unexpected token u,Chrome,Chrome 44.0,Windows,Windows 8.1,1920X1080,North America,United States,Pennsylvania,Philadelphia,8943050F-841E-4175-9EAA-B105E4FC7564,,6AEEE331-7153-4A55-A6B3-65536F937514,False,f05898c9-70ab-47e9-9cc2-d37a88d397ab
2015-10-02 23:58:43.218000000,Unexpected token u,Chrome,Chrome 44.0,Windows,Windows 8.1,1920X1080,North America,United States,Pennsylvania,Philadelphia,8943050F-841E-4175-9EAA-B105E4FC7564,,6AEEE331-7153-4A55-A6B3-65536F937514,False,f05898c9-70ab-47e9-9cc2-d37a88d397ab
2015-10-02 23:52:05.841000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1920X1080,Europe,United Kingdom,,,8F1846E4-BE01-4614-B404-8F33B3FD6E01,,7DD1505E-31BE-4F7D-9631-D5228E139255,False,5e8416eb-818d-4c61-b52c-25b98826ad23
2015-10-02 23:50:35.134000000,JSON.parse: unexpected character at line 1 column 1 of the JSON data,Firefox,Firefox 40.0,Windows,Windows 10,1920X1080,Asia,India,Telangana,Hyderabad,48849197-9349-4F4C-8BA0-E51AE850FFC1,,27E60D73-79D3-4E8C-B773-3E16C52636B0,False,57879096-5927-4354-b69d-803c895c8532
2015-10-02 23:50:35.137000000,JSON.parse: unexpected character at line 1 column 1 of the JSON data,Firefox,Firefox 40.0,Windows,Windows 10,1920X1080,Asia,India,Telangana,Hyderabad,48849197-9349-4F4C-8BA0-E51AE850FFC1,,27E60D73-79D3-4E8C-B773-3E16C52636B0,False,57879096-5927-4354-b69d-803c895c8532
2015-10-02 23:50:35.197000000,JSON.parse: unexpected character at line 1 column 1 of the JSON data,Firefox,Firefox 40.0,Windows,Windows 10,1920X1080,Asia,India,Telangana,Hyderabad,48849197-9349-4F4C-8BA0-E51AE850FFC1,,27E60D73-79D3-4E8C-B773-3E16C52636B0,False,57879096-5927-4354-b69d-803c895c8532
2015-10-02 23:50:35.200000000,JSON.parse: unexpected character at line 1 column 1 of the JSON data,Firefox,Firefox 40.0,Windows,Windows 10,1920X1080,Asia,India,Telangana,Hyderabad,48849197-9349-4F4C-8BA0-E51AE850FFC1,,27E60D73-79D3-4E8C-B773-3E16C52636B0,False,57879096-5927-4354-b69d-803c895c8532
2015-10-02 23:47:14.390000000,Unexpected token u,Chrome,Chrome 45.0,Mac,Mac OS X 10.9,1920X1080,Europe,Ireland,,,C90EB3FD-4341-49E4-B6C4-38B5A72B2DAA,,42FCAF9F-F840-472D-BB10-85E05934EB4A,False,03fd9f2d-06a3-4f3b-8a22-1944f851d9d1
2015-10-02 23:47:30.087000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1600X1200,North America,United States,Washington,Bellevue,598A2A30-0908-4D41-88F2-00D500DCBC15,,2D989FB8-86B2-4694-8A2D-EE9A733D4418,False,36eda17d-547a-42ef-97fa-02cb808125b3
2015-10-02 23:47:35.142000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1600X1200,North America,United States,Washington,Bellevue,598A2A30-0908-4D41-88F2-00D500DCBC15,,2D989FB8-86B2-4694-8A2D-EE9A733D4418,False,36eda17d-547a-42ef-97fa-02cb808125b3
2015-10-02 23:47:33.060000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1600X1200,North America,United States,Washington,Bellevue,598A2A30-0908-4D41-88F2-00D500DCBC15,,2D989FB8-86B2-4694-8A2D-EE9A733D4418,False,36eda17d-547a-42ef-97fa-02cb808125b3
2015-10-02 23:47:29.160000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1600X1200,North America,United States,Washington,Bellevue,598A2A30-0908-4D41-88F2-00D500DCBC15,,2D989FB8-86B2-4694-8A2D-EE9A733D4418,False,36eda17d-547a-42ef-97fa-02cb808125b3
2015-10-02 23:46:24.153000000,Unexpected token u,Chrome,Chrome 45.0,Mac,Mac OS X 10.10,1920X1200,North America,United States,Washington,Bellevue,3D32A43D-B58C-40B1-B27B-B9412E2D4FCA,,67B5F6A9-9EF3-447B-A68F-864B339DCF7E,False,94dbd153-0baf-41bc-8435-842ff6f5efd8
