TimeStamp,Type,Browser,BrowserVer,Os,OsVer,Resolution,Continent,Country,Province,City,Opid,Pid,Sid,IsFirst,Aid
2015-10-05 09:36:06.830000000,Unexpected token ,Chrome,Chrome 45.0,Windows,Windows 7,1920X1080,Europe,Ireland,Dublin City,Dublin,3A6EDAAF-226B-4294-B0B3-21777E8ADFAC,,F9CFF95E-9F06-4995-A703-50A1CAA6056B,False,UnknownIbizaUser
2015-10-05 09:38:02.783000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 7,1920X1080,Europe,France,Loire-Atlantique,Ancenis,7FBB03B6-A377-4B87-A8EC-B60DF4556954,,ED1237D5-B6C6-40AC-868F-1746F65815F8,False,b5c6d3a0-bdc1-45ea-8448-529b21f0ebe9
2015-10-05 09:38:02.764000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 7,1920X1080,Europe,France,Loire-Atlantique,Ancenis,7FBB03B6-A377-4B87-A8EC-B60DF4556954,,ED1237D5-B6C6-40AC-868F-1746F65815F8,False,b5c6d3a0-bdc1-45ea-8448-529b21f0ebe9
2015-10-05 09:38:02.802000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 7,1920X1080,Europe,France,Loire-Atlantique,Ancenis,7FBB03B6-A377-4B87-A8EC-B60DF4556954,,ED1237D5-B6C6-40AC-868F-1746F65815F8,False,b5c6d3a0-bdc1-45ea-8448-529b21f0ebe9
2015-10-05 09:38:07.666000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 7,1920X1080,Europe,France,Loire-Atlantique,Ancenis,7FBB03B6-A377-4B87-A8EC-B60DF4556954,,ED1237D5-B6C6-40AC-868F-1746F65815F8,False,b5c6d3a0-bdc1-45ea-8448-529b21f0ebe9
2015-10-05 09:37:30.228000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1600X900,North America,United States,Washington,Redmond,2962000B-520E-47BD-ABF8-9F84F140F4DB,,6154937D-CD20-42C2-A3DE-86F0FF5E57D9,False,3e5fd7e0-64e9-4a2d-a3a5-dc58faef2c21
2015-10-05 09:37:30.360000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1600X900,North America,United States,Washington,Redmond,2962000B-520E-47BD-ABF8-9F84F140F4DB,,6154937D-CD20-42C2-A3DE-86F0FF5E57D9,False,3e5fd7e0-64e9-4a2d-a3a5-dc58faef2c21
2015-10-05 09:37:21.227000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1680X1050,Europe,France,,,C791DC42-3D3B-45B0-9CFB-EA3DC6ECAB0E,,0DC17FEF-3241-4822-BC27-E39F5366B8AC,False,286bad65-9e48-41b9-9c7e-014942e5e475
2015-10-05 09:37:52.675000000,Script error.,Chrome,Chrome 45.0,Windows,Windows 8,1440X900,Europe,Spain,Barcelona,Barcelona,2609911D-DD81-432F-849C-9490B4B8C93A,,B60A97A2-3F02-4BD5-A966-4B2AF4A9F04A,False,a7ffc516-b3cf-4f6e-a5f4-ee860f3e975b
2015-10-05 09:39:09.146000000,"There is a cycle.
The path to the object contains a cycle:
listViewViewModel.extensionOptions.selectable.selection.selectableItems.2.data.columns
In object
<Array[4]>
",Firefox,Firefox 41.0,Windows,Windows 10,1920X1080,Europe,Greece,,,FDF84033-3B68-4619-AB49-B40A32C4A1F5,,F2A8EA54-8F45-4135-876B-8C02E8F823A5,False,2bf50c03-107f-4b6c-afa9-dadb36679f11
2015-10-05 09:35:26.882000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1766X993,Asia,India,Telangana,Hyderabad,92B9B741-5C48-492D-9A9F-88EAADE4EABA,,9A459709-F7F9-4351-B187-B3D16B4DD664,False,767cba9e-153d-46bd-93c4-a4e4234a0597
2015-10-05 09:35:26.905000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1766X993,Asia,India,Telangana,Hyderabad,92B9B741-5C48-492D-9A9F-88EAADE4EABA,,9A459709-F7F9-4351-B187-B3D16B4DD664,False,767cba9e-153d-46bd-93c4-a4e4234a0597
2015-10-05 09:35:26.931000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1766X993,Asia,India,Telangana,Hyderabad,92B9B741-5C48-492D-9A9F-88EAADE4EABA,,9A459709-F7F9-4351-B187-B3D16B4DD664,False,767cba9e-153d-46bd-93c4-a4e4234a0597
2015-10-05 09:35:26.957000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1766X993,Asia,India,Telangana,Hyderabad,92B9B741-5C48-492D-9A9F-88EAADE4EABA,,9A459709-F7F9-4351-B187-B3D16B4DD664,False,767cba9e-153d-46bd-93c4-a4e4234a0597
2015-10-05 09:35:42.813000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1920X1200,Europe,United Kingdom,England,London,EAD82995-7F67-4449-8BB7-F629339A0F1B,,7B7EF859-A427-4EF8-8D7E-F76826F5C9DD,False,e09218ef-f838-4249-b4ba-0329ccf71b80
