TimeStamp,Type,Browser,BrowserVer,Os,OsVer,Resolution,Continent,Country,Province,City,Opid,Pid,Sid,IsFirst,Aid
2015-10-06 23:58:47.249000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1600X900,North America,United States,California,San Jose,1E8AE750-2321-4E8E-8F98-7038990DF1B4,,EB50F0A6-DB3E-482E-8970-513A45633265,False,b25e4e50-423f-4a7d-8ea5-a3f6b03cb40b
2015-10-06 23:58:49.973000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1600X900,North America,United States,California,San Jose,1E8AE750-2321-4E8E-8F98-7038990DF1B4,,EB50F0A6-DB3E-482E-8970-513A45633265,False,b25e4e50-423f-4a7d-8ea5-a3f6b03cb40b
2015-10-06 23:58:47.246000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1600X900,North America,United States,California,San Jose,1E8AE750-2321-4E8E-8F98-7038990DF1B4,,EB50F0A6-DB3E-482E-8970-513A45633265,False,b25e4e50-423f-4a7d-8ea5-a3f6b03cb40b
2015-10-06 23:58:47.251000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1600X900,North America,United States,California,San Jose,1E8AE750-2321-4E8E-8F98-7038990DF1B4,,EB50F0A6-DB3E-482E-8970-513A45633265,False,b25e4e50-423f-4a7d-8ea5-a3f6b03cb40b
2015-10-06 23:58:51.504000000,Unexpected token u,Chrome,Chrome 45.0,Mac,Mac OS X 10.9,1920X1080,Europe,Ireland,,,9E41F947-8DAB-4A89-AA28-2F8B7D1B727B,,0AA8398C-9AFF-4408-A009-F023FF5EAC0B,False,03fd9f2d-06a3-4f3b-8a22-1944f851d9d1
2015-10-06 23:55:07.656000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 7,1080X1920,Europe,Denmark,,,5A89DFED-ECA3-4121-9E72-738339373349,,A9693E0E-25C2-429E-9121-0A76BFB57F84,False,52ab36a0-7c8b-4c84-86b2-c337f0ac437a
2015-10-06 23:55:07.732000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 7,1080X1920,Europe,Denmark,,,5A89DFED-ECA3-4121-9E72-738339373349,,A9693E0E-25C2-429E-9121-0A76BFB57F84,False,52ab36a0-7c8b-4c84-86b2-c337f0ac437a
2015-10-06 23:55:07.786000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 7,1080X1920,Europe,Denmark,,,5A89DFED-ECA3-4121-9E72-738339373349,,A9693E0E-25C2-429E-9121-0A76BFB57F84,False,52ab36a0-7c8b-4c84-86b2-c337f0ac437a
2015-10-06 23:53:13.102000000,Unexpected token u,Chrome,Chrome 44.0,Windows,Windows 8.1,1920X1080,North America,United States,Pennsylvania,Philadelphia,C2AD284D-7696-45FD-A6A0-7A65B5F8EDFC,,CD42C8AF-B1E9-4061-BD7A-DCC23A9C68B1,False,f05898c9-70ab-47e9-9cc2-d37a88d397ab
2015-10-06 23:53:14.258000000,Unexpected token u,Chrome,Chrome 44.0,Windows,Windows 8.1,1920X1080,North America,United States,Pennsylvania,Philadelphia,C2AD284D-7696-45FD-A6A0-7A65B5F8EDFC,,CD42C8AF-B1E9-4061-BD7A-DCC23A9C68B1,False,f05898c9-70ab-47e9-9cc2-d37a88d397ab
2015-10-06 23:53:14.262000000,Unexpected token u,Chrome,Chrome 44.0,Windows,Windows 8.1,1920X1080,North America,United States,Pennsylvania,Philadelphia,C2AD284D-7696-45FD-A6A0-7A65B5F8EDFC,,CD42C8AF-B1E9-4061-BD7A-DCC23A9C68B1,False,f05898c9-70ab-47e9-9cc2-d37a88d397ab
2015-10-06 23:53:14.266000000,Unexpected token u,Chrome,Chrome 44.0,Windows,Windows 8.1,1920X1080,North America,United States,Pennsylvania,Philadelphia,C2AD284D-7696-45FD-A6A0-7A65B5F8EDFC,,CD42C8AF-B1E9-4061-BD7A-DCC23A9C68B1,False,f05898c9-70ab-47e9-9cc2-d37a88d397ab
2015-10-06 23:50:29.731000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1920X1080,Africa,South Africa,,,8CAFB3CE-EAA9-4A4E-8177-4B97B3CD3285,,CF01627F-321C-441D-9305-66AAF58828E0,False,2d478897-dfb8-4368-8035-d9eeec90afc6
2015-10-06 23:50:29.557000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1920X1080,Africa,South Africa,,,0B4093CC-AB6C-47C5-9A9C-777DD7E7F39C,,CF01627F-321C-441D-9305-66AAF58828E0,False,2d478897-dfb8-4368-8035-d9eeec90afc6
