TimeStamp,Type,Browser,BrowserVer,Os,OsVer,Resolution,Continent,Country,Province,City,Opid,Pid,Sid,IsFirst,Aid
2015-10-09 18:32:38.777000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1495X844,Asia,India,Telangana,Hyderabad,8E660A37-7584-4088-92BE-9FA20EC07222,,774586F0-1B31-437A-8978-ADFC0438B23B,False,7f05992e-5551-4a07-b708-340c1a5faf63
2015-10-09 18:32:38.838000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1495X844,Asia,India,Telangana,Hyderabad,8E660A37-7584-4088-92BE-9FA20EC07222,,774586F0-1B31-437A-8978-ADFC0438B23B,False,7f05992e-5551-4a07-b708-340c1a5faf63
2015-10-09 18:32:39.010000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1495X844,Asia,India,Telangana,Hyderabad,8E660A37-7584-4088-92BE-9FA20EC07222,,774586F0-1B31-437A-8978-ADFC0438B23B,False,7f05992e-5551-4a07-b708-340c1a5faf63
2015-10-09 18:32:38.712000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1495X844,Asia,India,Telangana,Hyderabad,8E660A37-7584-4088-92BE-9FA20EC07222,,774586F0-1B31-437A-8978-ADFC0438B23B,False,7f05992e-5551-4a07-b708-340c1a5faf63
2015-10-09 20:47:13.341000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,A5C1440C-CB6B-4F1A-A69B-294815C98B00,,4081F087-1ACB-420D-B6D2-E29F1C6A75C4,False,103d6f0d-98d5-495e-bc8a-2b311a000ed4
2015-10-09 21:12:38.256000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8,1920X1200,Europe,Netherlands,,,21EC2218-67C0-424E-89DB-E649EA7C36DE,,12985BD5-00DF-483C-9642-693B32142B4E,False,c628ce10-3223-493b-a11a-09a8a7e5b51a
2015-10-09 20:50:44.107000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1920X1080,North America,United States,Washington,North Bend,94351072-5DAE-4FC0-BBC4-4FD31709C567,,D8E646E1-6501-461A-9335-DA06E6F421B0,True,edde7c39-a77c-4388-a891-8012e4a1f89f
2015-10-09 21:00:40.939000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1920X1080,Europe,United Kingdom,Manchester,Heywood,65497796-6382-4FA0-9BCB-100DF760E209,,E96D5B7D-074D-4994-9B2C-3ECAC6B504CC,True,cce5ee74-773f-4479-a039-d61a1eda8ef3
2015-10-09 21:21:13.570000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 10,1536X864,Asia,Japan,,,CB34DB9E-64D7-4475-888D-EAFD1B6C581C,,88C50F33-AA30-41DC-8AB5-46BCB684AEE3,False,93d79a77-a8e7-4473-8001-e3378e749495
2015-10-09 21:27:39.205000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8,1920X1200,Europe,Netherlands,,,21EC2218-67C0-424E-89DB-E649EA7C36DE,,12985BD5-00DF-483C-9642-693B32142B4E,False,c628ce10-3223-493b-a11a-09a8a7e5b51a
2015-10-09 20:39:35.282000000,Unexpected token ,Chrome,Chrome 45.0,Windows,Windows 10,1366X768,Europe,Russia,Novgorodskaya Oblast',Veliky Novgorod,C5B99ED3-27F3-48B8-B2A6-A255DDD30D9B,,99F83120-E50E-4AF2-A63F-06511E70A214,False,UnknownIbizaUser
