TimeStamp,Type,Browser,BrowserVer,Os,OsVer,Resolution,Continent,Country,Province,City,Opid,Pid,Sid,IsFirst,Aid
2015-10-07 15:17:09.597000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1766X993,Asia,India,Telangana,Hyderabad,269051A3-87FD-48CF-BD83-3C997D251CEB,,A91D4940-C7C2-424F-B7CF-026EE0F9F486,False,767cba9e-153d-46bd-93c4-a4e4234a0597
2015-10-07 15:17:09.625000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1766X993,Asia,India,Telangana,Hyderabad,269051A3-87FD-48CF-BD83-3C997D251CEB,,A91D4940-C7C2-424F-B7CF-026EE0F9F486,False,767cba9e-153d-46bd-93c4-a4e4234a0597
2015-10-07 15:17:09.650000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1766X993,Asia,India,Telangana,Hyderabad,269051A3-87FD-48CF-BD83-3C997D251CEB,,A91D4940-C7C2-424F-B7CF-026EE0F9F486,False,767cba9e-153d-46bd-93c4-a4e4234a0597
2015-10-07 15:17:09.676000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1766X993,Asia,India,Telangana,Hyderabad,269051A3-87FD-48CF-BD83-3C997D251CEB,,A91D4940-C7C2-424F-B7CF-026EE0F9F486,False,767cba9e-153d-46bd-93c4-a4e4234a0597
2015-10-07 23:45:42.150000000,allocation size overflow,Firefox,Firefox 41.0,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,30F071EA-8CCE-454E-AC24-6023D834801A,,E9BE7160-0EED-4F0B-BA9C-57BE71810DB8,False,5b453bb1-45f7-4467-a211-eafb2e0e2eac
2015-10-07 23:46:43.311000000,uncaught exception: out of memory,Firefox,Firefox 41.0,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,30F071EA-8CCE-454E-AC24-6023D834801A,,E9BE7160-0EED-4F0B-BA9C-57BE71810DB8,False,5b453bb1-45f7-4467-a211-eafb2e0e2eac
2015-10-07 23:48:00.069000000,uncaught exception: out of memory,Firefox,Firefox 41.0,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,30F071EA-8CCE-454E-AC24-6023D834801A,,E9BE7160-0EED-4F0B-BA9C-57BE71810DB8,False,5b453bb1-45f7-4467-a211-eafb2e0e2eac
2015-10-07 23:48:25.375000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1680X1050,North America,United States,Pennsylvania,Philadelphia,225A4E04-7528-4F87-AC6D-0A6CD27653D2,,6973988E-DF8A-4527-9961-05AEF935FB58,False,9f4532c4-fc37-44ac-976f-7fc2a606c06e
2015-10-07 23:48:26.384000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1680X1050,North America,United States,Pennsylvania,Philadelphia,225A4E04-7528-4F87-AC6D-0A6CD27653D2,,6973988E-DF8A-4527-9961-05AEF935FB58,False,9f4532c4-fc37-44ac-976f-7fc2a606c06e
2015-10-07 23:48:28.363000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1680X1050,North America,United States,Pennsylvania,Philadelphia,225A4E04-7528-4F87-AC6D-0A6CD27653D2,,6973988E-DF8A-4527-9961-05AEF935FB58,False,9f4532c4-fc37-44ac-976f-7fc2a606c06e
2015-10-07 23:48:30.376000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1680X1050,North America,United States,Pennsylvania,Philadelphia,225A4E04-7528-4F87-AC6D-0A6CD27653D2,,6973988E-DF8A-4527-9961-05AEF935FB58,False,9f4532c4-fc37-44ac-976f-7fc2a606c06e
2015-10-07 23:48:45.878000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 7,1080X1920,Europe,Denmark,,,75AE5C21-9936-420F-9023-1D799D98F7C3,,E694BE96-0D8D-4B7C-AC6E-F95E95D96137,False,52ab36a0-7c8b-4c84-86b2-c337f0ac437a
2015-10-07 23:48:42.842000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 7,1080X1920,Europe,Denmark,,,75AE5C21-9936-420F-9023-1D799D98F7C3,,E694BE96-0D8D-4B7C-AC6E-F95E95D96137,False,52ab36a0-7c8b-4c84-86b2-c337f0ac437a
2015-10-07 23:48:41.878000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 7,1080X1920,Europe,Denmark,,,75AE5C21-9936-420F-9023-1D799D98F7C3,,E694BE96-0D8D-4B7C-AC6E-F95E95D96137,False,52ab36a0-7c8b-4c84-86b2-c337f0ac437a
2015-10-07 23:49:36.048000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1920X1200,North America,United States,Washington,Redmond,5B69583A-E814-435A-9F1A-345161C45B87,,3022D0D6-39E6-4349-8848-44319319AE15,False,7f2c7cd8-b0da-46fe-b18c-6bb9adc39394
2015-10-07 23:49:37.047000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1920X1200,North America,United States,Washington,Redmond,5B69583A-E814-435A-9F1A-345161C45B87,,3022D0D6-39E6-4349-8848-44319319AE15,False,7f2c7cd8-b0da-46fe-b18c-6bb9adc39394
2015-10-07 23:49:38.037000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1920X1200,North America,United States,Washington,Redmond,5B69583A-E814-435A-9F1A-345161C45B87,,3022D0D6-39E6-4349-8848-44319319AE15,False,7f2c7cd8-b0da-46fe-b18c-6bb9adc39394
2015-10-07 23:49:39.049000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1920X1200,North America,United States,Washington,Redmond,5B69583A-E814-435A-9F1A-345161C45B87,,3022D0D6-39E6-4349-8848-44319319AE15,False,7f2c7cd8-b0da-46fe-b18c-6bb9adc39394
2015-10-07 23:46:52.179000000,Cannot read property 'version' of null,Chrome,Chrome 45.0,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,21A4845B-7EFB-433D-9FDB-F937160E4B9A,,7C49298A-5D50-4166-916B-D0496E6FB495,False,8b08ae77-f27f-4c67-9718-ed053edee768
2015-10-07 23:44:25.537000000,Unexpected token u,Chrome,Chrome 48.0,Windows,Windows 10,1920X1080,Europe,Republic of Lithuania,,,5BB6BDA3-B363-4583-8ED4-EBD5F057F895,,6A216BC3-0A54-49C1-BBF6-5C40DBBF0480,False,4d98884b-1a0e-4592-a992-0890c885c0de
2015-10-07 23:43:41.846000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 7,1080X1920,Europe,Denmark,,,75AE5C21-9936-420F-9023-1D799D98F7C3,,E694BE96-0D8D-4B7C-AC6E-F95E95D96137,False,52ab36a0-7c8b-4c84-86b2-c337f0ac437a
2015-10-07 23:43:42.771000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 7,1080X1920,Europe,Denmark,,,75AE5C21-9936-420F-9023-1D799D98F7C3,,E694BE96-0D8D-4B7C-AC6E-F95E95D96137,False,52ab36a0-7c8b-4c84-86b2-c337f0ac437a
2015-10-07 23:43:45.798000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 7,1080X1920,Europe,Denmark,,,75AE5C21-9936-420F-9023-1D799D98F7C3,,E694BE96-0D8D-4B7C-AC6E-F95E95D96137,False,52ab36a0-7c8b-4c84-86b2-c337f0ac437a
2015-10-07 23:44:25.003000000,Unexpected token u,Chrome,Chrome 48.0,Windows,Windows 10,1920X1080,Europe,Republic of Lithuania,,,5BB6BDA3-B363-4583-8ED4-EBD5F057F895,,6A216BC3-0A54-49C1-BBF6-5C40DBBF0480,False,4d98884b-1a0e-4592-a992-0890c885c0de
2015-10-07 23:44:25.681000000,Unexpected token u,Chrome,Chrome 48.0,Windows,Windows 10,1920X1080,Europe,Republic of Lithuania,,,5BB6BDA3-B363-4583-8ED4-EBD5F057F895,,6A216BC3-0A54-49C1-BBF6-5C40DBBF0480,False,4d98884b-1a0e-4592-a992-0890c885c0de
2015-10-07 23:43:16.758000000,Unexpected token u,Chrome,Chrome 45.0,Mac,Mac OS X 10.9,1920X1080,Europe,Ireland,,,FDAFCEB0-DE71-4A3B-9872-D57833CA11B1,,33E3F6D2-4959-4EA1-819F-6E9253D48B4B,False,03fd9f2d-06a3-4f3b-8a22-1944f851d9d1
