TimeStamp,Type,Browser,BrowserVer,Os,OsVer,Resolution,Continent,Country,Province,City,Opid,Pid,Sid,IsFirst,Aid
2015-10-03 22:12:04.258000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1766X993,Asia,India,Telangana,Hyderabad,1A2A6F9F-5FBF-4A9B-B3B5-12F0BB6AC9E2,,2480EBDC-4AB1-460C-88A0-A711F1ED5366,False,767cba9e-153d-46bd-93c4-a4e4234a0597
2015-10-03 22:12:04.292000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1766X993,Asia,India,Telangana,Hyderabad,1A2A6F9F-5FBF-4A9B-B3B5-12F0BB6AC9E2,,2480EBDC-4AB1-460C-88A0-A711F1ED5366,False,767cba9e-153d-46bd-93c4-a4e4234a0597
2015-10-03 22:12:04.322000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1766X993,Asia,India,Telangana,Hyderabad,1A2A6F9F-5FBF-4A9B-B3B5-12F0BB6AC9E2,,2480EBDC-4AB1-460C-88A0-A711F1ED5366,False,767cba9e-153d-46bd-93c4-a4e4234a0597
2015-10-03 22:12:04.360000000,Invalid character,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1766X993,Asia,India,Telangana,Hyderabad,1A2A6F9F-5FBF-4A9B-B3B5-12F0BB6AC9E2,,2480EBDC-4AB1-460C-88A0-A711F1ED5366,False,767cba9e-153d-46bd-93c4-a4e4234a0597
2015-10-03 04:16:09.056000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1920X1080,North America,United States,Washington,Redmond,77BB437B-7E4E-4340-8628-FB09F8D354E5,,8DE47B7B-881D-4BD2-B12F-A1C783627387,False,9083e495-8d90-43be-a121-049e0ea589fb
2015-10-03 04:16:09.061000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1920X1080,North America,United States,Washington,Redmond,77BB437B-7E4E-4340-8628-FB09F8D354E5,,8DE47B7B-881D-4BD2-B12F-A1C783627387,False,9083e495-8d90-43be-a121-049e0ea589fb
2015-10-03 04:16:09.065000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1920X1080,North America,United States,Washington,Redmond,77BB437B-7E4E-4340-8628-FB09F8D354E5,,8DE47B7B-881D-4BD2-B12F-A1C783627387,False,9083e495-8d90-43be-a121-049e0ea589fb
2015-10-03 04:16:09.067000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1920X1080,North America,United States,Washington,Redmond,77BB437B-7E4E-4340-8628-FB09F8D354E5,,8DE47B7B-881D-4BD2-B12F-A1C783627387,False,9083e495-8d90-43be-a121-049e0ea589fb
2015-10-03 23:59:32.868000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1920X1200,Europe,United Kingdom,England,London,EAD82995-7F67-4449-8BB7-F629339A0F1B,,54A43ECA-ADA2-4D27-9463-5CC1F9F5DE3D,False,e09218ef-f838-4249-b4ba-0329ccf71b80
2015-10-03 23:59:33.751000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1920X1200,Europe,United Kingdom,England,London,EAD82995-7F67-4449-8BB7-F629339A0F1B,,54A43ECA-ADA2-4D27-9463-5CC1F9F5DE3D,False,e09218ef-f838-4249-b4ba-0329ccf71b80
2015-10-03 23:59:30.774000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1920X1200,Europe,United Kingdom,England,London,EAD82995-7F67-4449-8BB7-F629339A0F1B,,54A43ECA-ADA2-4D27-9463-5CC1F9F5DE3D,False,e09218ef-f838-4249-b4ba-0329ccf71b80
2015-10-03 23:57:38.098000000,????????????,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,1422X800,Asia,Japan,,,0B2A9ABB-CFC5-4382-899F-C7B478494116,,3C606B04-D2F4-430E-992F-4F85026B7CD6,True,UnknownIbizaUser
2015-10-03 23:56:09.471000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,3840X2160,North America,United States,New Jersey,Bridgewater,E0B98830-6681-4CCE-8045-06E18E0376F5,,97370032-97E2-49A4-A21E-2D5006088A7A,False,df6c8a87-7c07-44e5-bfce-0d483615ff02
2015-10-03 23:56:09.476000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,3840X2160,North America,United States,New Jersey,Bridgewater,E0B98830-6681-4CCE-8045-06E18E0376F5,,97370032-97E2-49A4-A21E-2D5006088A7A,False,df6c8a87-7c07-44e5-bfce-0d483615ff02
2015-10-03 23:56:09.475000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,3840X2160,North America,United States,New Jersey,Bridgewater,E0B98830-6681-4CCE-8045-06E18E0376F5,,97370032-97E2-49A4-A21E-2D5006088A7A,False,df6c8a87-7c07-44e5-bfce-0d483615ff02
2015-10-03 23:56:09.615000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,3840X2160,North America,United States,New Jersey,Bridgewater,E0B98830-6681-4CCE-8045-06E18E0376F5,,97370032-97E2-49A4-A21E-2D5006088A7A,False,df6c8a87-7c07-44e5-bfce-0d483615ff02
2015-10-03 23:54:05.245000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1680X1050,Europe,France,,,7718A84F-E459-4DFD-A6AE-F488CEF10D4E,,C8DA5641-DB78-4019-84FF-0C0784F01E07,False,286bad65-9e48-41b9-9c7e-014942e5e475
2015-10-03 23:54:12.065000000,Unexpected token u,Chrome,Chrome 45.0,Mac,Mac OS X 10.10,1920X1200,North America,Canada,British Columbia,Vancouver,3D32A43D-B58C-40B1-B27B-B9412E2D4FCA,,F31DE4FA-B540-4F6C-981E-FA5B4B2FD763,False,94dbd153-0baf-41bc-8435-842ff6f5efd8
2015-10-03 23:54:12.067000000,Unexpected token u,Chrome,Chrome 45.0,Mac,Mac OS X 10.10,1920X1200,North America,Canada,British Columbia,Vancouver,3D32A43D-B58C-40B1-B27B-B9412E2D4FCA,,F31DE4FA-B540-4F6C-981E-FA5B4B2FD763,False,94dbd153-0baf-41bc-8435-842ff6f5efd8
2015-10-03 23:54:16.033000000,Unexpected token u,Chrome,Chrome 45.0,Mac,Mac OS X 10.10,1920X1200,North America,Canada,British Columbia,Vancouver,3D32A43D-B58C-40B1-B27B-B9412E2D4FCA,,F31DE4FA-B540-4F6C-981E-FA5B4B2FD763,False,94dbd153-0baf-41bc-8435-842ff6f5efd8
2015-10-03 23:54:17.052000000,Unexpected token u,Chrome,Chrome 45.0,Mac,Mac OS X 10.10,1920X1200,North America,Canada,British Columbia,Vancouver,3D32A43D-B58C-40B1-B27B-B9412E2D4FCA,,F31DE4FA-B540-4F6C-981E-FA5B4B2FD763,False,94dbd153-0baf-41bc-8435-842ff6f5efd8
2015-10-03 23:54:16.869000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8,1920X1200,North America,United States,California,Redwood City,1B393C24-AF6B-4C73-9B2D-C89D8C9599A6,,2CBA0853-A7B0-4A51-A9F3-18791AB8A387,False,f52925d3-9671-419b-982e-1b9faa3dad5c
2015-10-03 23:54:16.980000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8,1920X1200,North America,United States,California,Redwood City,1B393C24-AF6B-4C73-9B2D-C89D8C9599A6,,2CBA0853-A7B0-4A51-A9F3-18791AB8A387,False,f52925d3-9671-419b-982e-1b9faa3dad5c
2015-10-03 23:54:17.765000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8,1920X1200,North America,United States,California,Redwood City,1B393C24-AF6B-4C73-9B2D-C89D8C9599A6,,2CBA0853-A7B0-4A51-A9F3-18791AB8A387,False,f52925d3-9671-419b-982e-1b9faa3dad5c
2015-10-03 23:54:17.058000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8,1920X1200,North America,United States,California,Redwood City,1B393C24-AF6B-4C73-9B2D-C89D8C9599A6,,2CBA0853-A7B0-4A51-A9F3-18791AB8A387,False,f52925d3-9671-419b-982e-1b9faa3dad5c
2015-10-03 23:53:21.206000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,Asia,Singapore,,Singapore,B9E41579-9B27-4481-8C75-C30A5D0E0CC9,,9612EAF0-4196-440C-8DD7-136DEB008AFC,False,2488c915-337a-448f-8117-ee245b6c1ebd
2015-10-03 23:51:20.179000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,B42D7F82-4A59-4A8F-8CE3-CAEFBC1AFF5B,,4920EC21-966E-484F-BF67-9E3FCA347FFA,False,a8bcefdf-b108-4d34-90c6-fdf86b34aab1
2015-10-03 23:51:20.148000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,B42D7F82-4A59-4A8F-8CE3-CAEFBC1AFF5B,,4920EC21-966E-484F-BF67-9E3FCA347FFA,False,a8bcefdf-b108-4d34-90c6-fdf86b34aab1
2015-10-03 23:51:20.169000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,B42D7F82-4A59-4A8F-8CE3-CAEFBC1AFF5B,,4920EC21-966E-484F-BF67-9E3FCA347FFA,False,a8bcefdf-b108-4d34-90c6-fdf86b34aab1
2015-10-03 23:51:20.187000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,B42D7F82-4A59-4A8F-8CE3-CAEFBC1AFF5B,,4920EC21-966E-484F-BF67-9E3FCA347FFA,False,a8bcefdf-b108-4d34-90c6-fdf86b34aab1
2015-10-03 23:49:53.855000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,92EE8CA0-B9BE-4FF5-B33C-71996582EFBF,,8D12A812-9A0C-4586-9660-0A39D35463BC,False,a8bcefdf-b108-4d34-90c6-fdf86b34aab1
2015-10-03 23:49:53.863000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,92EE8CA0-B9BE-4FF5-B33C-71996582EFBF,,8D12A812-9A0C-4586-9660-0A39D35463BC,False,a8bcefdf-b108-4d34-90c6-fdf86b34aab1
2015-10-03 23:49:53.871000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,92EE8CA0-B9BE-4FF5-B33C-71996582EFBF,,8D12A812-9A0C-4586-9660-0A39D35463BC,False,a8bcefdf-b108-4d34-90c6-fdf86b34aab1
2015-10-03 23:49:54.917000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,92EE8CA0-B9BE-4FF5-B33C-71996582EFBF,,8D12A812-9A0C-4586-9660-0A39D35463BC,False,a8bcefdf-b108-4d34-90c6-fdf86b34aab1
2015-10-03 23:47:12.179000000,Unexpected token u,Chrome,Chrome 45.0,Mac,Mac OS X 10.9,1920X1080,Europe,Ireland,,,C90EB3FD-4341-49E4-B6C4-38B5A72B2DAA,,47BF5A27-52B7-42D9-82C4-5C405E2844E3,False,03fd9f2d-06a3-4f3b-8a22-1944f851d9d1
2015-10-03 23:44:56.000000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1920X1080,North America,United States,Texas,Irving,1B72CBA8-D76C-4E92-94BA-A391B36E72BA,,44B50745-51E0-45DE-9561-4A9FEC812571,False,a865ea7a-8a5f-4b6d-81ac-d56673d7b312
2015-10-03 23:44:57.987000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1920X1080,North America,United States,Texas,Irving,1B72CBA8-D76C-4E92-94BA-A391B36E72BA,,44B50745-51E0-45DE-9561-4A9FEC812571,False,a865ea7a-8a5f-4b6d-81ac-d56673d7b312
2015-10-03 23:44:56.978000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1920X1080,North America,United States,Texas,Irving,1B72CBA8-D76C-4E92-94BA-A391B36E72BA,,44B50745-51E0-45DE-9561-4A9FEC812571,False,a865ea7a-8a5f-4b6d-81ac-d56673d7b312
2015-10-03 23:44:59.010000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 8.1,1920X1080,North America,United States,Texas,Irving,1B72CBA8-D76C-4E92-94BA-A391B36E72BA,,44B50745-51E0-45DE-9561-4A9FEC812571,False,a865ea7a-8a5f-4b6d-81ac-d56673d7b312
2015-10-03 23:41:12.130000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1366X768,North America,United States,Illinois,Glen Ellyn,D96D2C99-CCA3-4624-9164-DD0286E1380E,,9999363E-9C18-489F-84B0-700ACE74EF94,False,d6ae62b6-b87e-4837-8e4c-9980095b79a1
2015-10-03 23:41:10.319000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1366X768,North America,United States,Illinois,Glen Ellyn,D96D2C99-CCA3-4624-9164-DD0286E1380E,,9999363E-9C18-489F-84B0-700ACE74EF94,False,d6ae62b6-b87e-4837-8e4c-9980095b79a1
