TimeStamp,Type,Browser,BrowserVer,Os,OsVer,Resolution,Continent,Country,Province,City,Opid,Pid,Sid,IsFirst,Aid
2015-10-04 04:04:59.894000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,74529E81-FF5D-47B0-BF15-6FC3FB992A36,,681D4022-B6C3-4C48-9A07-8D9C9ED49D6E,False,a8bcefdf-b108-4d34-90c6-fdf86b34aab1
2015-10-04 04:04:59.911000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,74529E81-FF5D-47B0-BF15-6FC3FB992A36,,681D4022-B6C3-4C48-9A07-8D9C9ED49D6E,False,a8bcefdf-b108-4d34-90c6-fdf86b34aab1
2015-10-04 04:05:01.412000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,North America,United States,Washington,Bellevue,74529E81-FF5D-47B0-BF15-6FC3FB992A36,,681D4022-B6C3-4C48-9A07-8D9C9ED49D6E,False,a8bcefdf-b108-4d34-90c6-fdf86b34aab1
2015-10-04 03:40:17.230000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,2560X1440,North America,United States,Washington,Bellevue,D0D0FD4E-F5E3-4617-9708-0189069CB0AA,,8CE7B26C-F5B3-49D0-B5AA-FFAD33540EEE,False,1d60be00-3746-4cea-a92d-555fe5eb2a06
2015-10-04 03:40:18.211000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,2560X1440,North America,United States,Washington,Bellevue,D0D0FD4E-F5E3-4617-9708-0189069CB0AA,,8CE7B26C-F5B3-49D0-B5AA-FFAD33540EEE,False,1d60be00-3746-4cea-a92d-555fe5eb2a06
2015-10-04 03:40:19.210000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,2560X1440,North America,United States,Washington,Bellevue,D0D0FD4E-F5E3-4617-9708-0189069CB0AA,,8CE7B26C-F5B3-49D0-B5AA-FFAD33540EEE,False,1d60be00-3746-4cea-a92d-555fe5eb2a06
2015-10-04 03:40:22.219000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,2560X1440,North America,United States,Washington,Bellevue,D0D0FD4E-F5E3-4617-9708-0189069CB0AA,,8CE7B26C-F5B3-49D0-B5AA-FFAD33540EEE,False,1d60be00-3746-4cea-a92d-555fe5eb2a06
2015-10-04 03:38:21.192000000,Invalid character,Internet Explorer,Internet Explorer 12.10240,Windows,Windows 10,1920X1080,Asia,Singapore,,Singapore,B9E41579-9B27-4481-8C75-C30A5D0E0CC9,,9612EAF0-4196-440C-8DD7-136DEB008AFC,False,2488c915-337a-448f-8117-ee245b6c1ebd
2015-10-04 03:39:05.721000000,Unexpected token u,Chrome,Chrome 45.0,Windows,Windows 10,1680X1050,Europe,France,,,7718A84F-E459-4DFD-A6AE-F488CEF10D4E,,C8DA5641-DB78-4019-84FF-0C0784F01E07,False,286bad65-9e48-41b9-9c7e-014942e5e475
2015-10-04 03:47:11.802000000,Unexpected token u,Chrome,Chrome 45.0,Mac,Mac OS X 10.9,1920X1080,Europe,Ireland,,,C90EB3FD-4341-49E4-B6C4-38B5A72B2DAA,,47BF5A27-52B7-42D9-82C4-5C405E2844E3,False,03fd9f2d-06a3-4f3b-8a22-1944f851d9d1
2015-10-04 03:32:11.775000000,Unexpected token u,Chrome,Chrome 45.0,Mac,Mac OS X 10.9,1920X1080,Europe,Ireland,,,C90EB3FD-4341-49E4-B6C4-38B5A72B2DAA,,47BF5A27-52B7-42D9-82C4-5C405E2844E3,False,03fd9f2d-06a3-4f3b-8a22-1944f851d9d1
