TimeStamp,Browser,BrowserVer,Os,OsVer,RoleInst,Continent,Country,Province,City,OpName,Opid,Pid,Sid,IsFirst,Aid,Name,Success,Response,UrlBase,Host,ReqDuration
2015-10-22 00:28:07.745423900,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,1172575971866164154,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.8845
2015-10-22 00:28:09.149193100,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,7556248861558756339,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.8703
2015-10-22 00:28:09.706107400,nan,,,,InsightsPortal_IN_1,Asia,China,Jilin Sheng,Changchun,POST SupportedProjectTypes,2617098078284917844,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,76.2134
2015-10-22 00:28:09.715868900,nan,,,,InsightsPortal_IN_1,Asia,China,Hubei,Wuhan,POST SupportedProjectTypes,10557414151186939076,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,218.5677
2015-10-22 00:28:13.084292200,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,3295361459474416868,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.8123
2015-10-22 00:28:06.182999900,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,10944925893734552025,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.4
2015-10-22 00:28:13.233292300,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,9738531995147802739,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.75
2015-10-22 00:28:16.051511600,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,1075793101402381050,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.0275
2015-10-22 00:28:16.308673300,nan,,,,InsightsPortal_IN_1,Asia,China,Hubei,Wuhan,POST SupportedProjectTypes,9914606242966410885,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,926.7585
2015-10-22 00:28:19.078207400,nan,,,,InsightsPortal_IN_1,Asia,China,Zhejiang Sheng,Hangzhou,POST SupportedProjectTypes,9157103805627501305,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,145.9983
2015-10-22 00:28:19.917505200,nan,,,,InsightsPortal_IN_1,Oceania,Australia,New South Wales,Wickham,POST SupportedProjectTypes,14501081251512771763,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,172.14
2015-10-22 00:28:24.352182800,nan,,,,InsightsPortal_IN_1,Oceania,New Zealand,Wellington,Wellington,POST SupportedProjectTypes,12129276319231684844,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,156.1034
2015-10-22 00:28:24.927569600,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,11528473602174506652,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.8284
2015-10-22 00:28:25.559009800,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,8951855347736415809,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.6707
2015-10-22 00:28:25.468120900,nan,,,,InsightsPortal_IN_1,Oceania,New Zealand,Wellington,Wellington,POST SupportedProjectTypes,4952103631749458213,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,154.1889
2015-10-22 00:28:25.881569000,nan,,,,InsightsPortal_IN_1,Oceania,Australia,New South Wales,Wickham,POST SupportedProjectTypes,5375681674127004973,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,172.8843
2015-10-22 00:28:26.226708600,nan,,,,InsightsPortal_IN_1,Asia,Republic of Korea,,,POST SupportedProjectTypes,4611492289708870522,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,48.3582
2015-10-22 00:28:26.756305300,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,12720972774804888271,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.1717
2015-10-22 00:28:27.716349500,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,1665673416543669757,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.0412
2015-10-22 00:28:28.728037600,nan,,,,InsightsPortal_IN_1,Oceania,New Zealand,Auckland,Auckland,POST SupportedProjectTypes,10308565382093849969,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,264.2077
2015-10-22 00:28:30.159208100,nan,,,,InsightsPortal_IN_1,Asia,China,Zhejiang Sheng,Hangzhou,POST SupportedProjectTypes,5353599826280917218,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,176.8805
2015-10-22 00:28:35.281705500,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,5717604602352474186,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.5589
2015-10-22 00:28:32.724073900,nan,,,,InsightsPortal_IN_1,Asia,China,Guangdong,Guangzhou,POST SupportedProjectTypes,13112166060230744109,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,32.1539
2015-10-22 00:28:35.537717400,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,13523923412257644125,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.8295
2015-10-22 00:28:12.275509300,nan,,,,InsightsPortal_IN_1,Asia,Japan,T?ky?,Tokyo,POST SupportedProjectTypes,12422461687081530256,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,67.4714
2015-10-22 00:28:36.776421600,nan,Other,,Other,InsightsPortal_IN_1,Asia,Hong Kong,,,HEAD ping,11841191211394303278,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.6865
2015-10-22 00:28:37.082215900,nan,,,,InsightsPortal_IN_1,Oceania,Australia,Victoria,Glen Waverley,POST SupportedProjectTypes,2563312633428818104,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,131.2575
2015-10-22 00:28:37.502496200,nan,,,,InsightsPortal_IN_1,Oceania,Australia,New South Wales,Sydney,POST SupportedProjectTypes,17147243168061473514,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,135.5961
2015-10-22 00:28:37.842993700,nan,,,,InsightsPortal_IN_1,Oceania,New Zealand,Auckland,Auckland,POST SupportedProjectTypes,7176845632587664027,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,464.4152
2015-10-22 00:28:39.845365600,nan,,,,InsightsPortal_IN_1,Asia,China,Guangdong,Guangzhou,POST SupportedProjectTypes,7291043912128296198,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,60.7361
2015-10-22 00:28:41.574520200,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,15253828358775495875,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.6983
2015-10-22 00:28:42.118988900,nan,,,,InsightsPortal_IN_1,Oceania,New Zealand,Wellington,Wellington,POST SupportedProjectTypes,9792272840577846153,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,156.6989
2015-10-22 00:28:42.560660500,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,3381484352178272139,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.8027
2015-10-22 00:28:43.150240800,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,4341255919811572716,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.2508
2015-10-22 00:28:43.553978700,nan,,,,InsightsPortal_IN_1,Asia,China,Hubei,Wuhan,POST SupportedProjectTypes,7800095535137604742,,,,,POST SupportedProjectTypes,False,500,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,633.4497
