TimeStamp,Browser,BrowserVer,Os,OsVer,RoleInst,Continent,Country,Province,City,OpName,Opid,Pid,Sid,IsFirst,Aid,Name,Success,Response,UrlBase,Host,ReqDuration
2015-10-26 22:41:02.146014800,nan,,,,InsightsPortal_IN_1,Oceania,Australia,,,POST SupportedProjectTypes,5366514953162590294,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,226.9135
2015-10-26 22:41:04.457251600,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,6783583214375230279,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.7957
2015-10-26 22:41:06.203276100,nan,,,,InsightsPortal_IN_1,,,,,POST SupportedProjectTypes,4884119242834680568,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,2.0269
2015-10-26 22:40:58.232065700,nan,,,,InsightsPortal_IN_1,,,,,POST SupportedProjectTypes,10569527009710059882,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,2.6822
2015-10-26 22:39:35.876297000,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,18429203695297627422,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.8041
2015-10-26 22:39:19.873824800,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,8843347190221637849,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.8075
2015-10-26 22:39:40.369764500,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,12015447947272715896,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.3551
2015-10-26 22:39:40.710932000,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,16188907130126387791,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.3339
2015-10-26 22:39:44.301602900,nan,,,,InsightsPortal_IN_1,Oceania,Australia,Victoria,Melbourne,POST SupportedProjectTypes,11468864361269997798,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,184.4766
2015-10-26 22:39:46.275347200,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,7881969792323552217,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.0177
2015-10-26 22:39:49.317412300,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,3463771745275227302,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.0506
2015-10-26 22:39:22.681954600,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,16091588953603957405,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.0171
2015-10-26 22:39:23.878757500,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,1300004439498505718,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.3763
2015-10-26 22:39:24.278760400,nan,,,,InsightsPortal_IN_1,Asia,Republic of Korea,,,POST SupportedProjectTypes,5388177947830086119,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,47.983000000000004
2015-10-26 22:39:56.124775100,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,2969933710019336424,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.3129
2015-10-26 22:39:56.147032600,nan,,,,InsightsPortal_IN_1,Oceania,New Zealand,Auckland,Parnell,POST SupportedProjectTypes,10937197438674690391,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,148.1091
2015-10-26 22:39:59.626105000,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,4594060745444209792,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.251
2015-10-26 22:40:05.355912600,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,4842539927948950758,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.3547
2015-10-26 22:40:08.119698200,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,14989977298393973079,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.8679
2015-10-26 22:40:08.917900200,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,199656903535214951,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.376
2015-10-26 22:40:10.409998100,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,3909053766991265494,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.3064
2015-10-26 22:40:12.560177800,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,15324241783496280913,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.0371
2015-10-26 22:40:13.537208800,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,4360068608922236752,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.9631
2015-10-26 22:40:15.837528500,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,1511026535445789738,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.0749
2015-10-26 22:40:18.159078800,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,16136895125947675807,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.7745
2015-10-26 22:40:18.795641100,nan,,,,InsightsPortal_IN_1,Asia,Bangladesh,Dhaka,Dhaka,POST SupportedProjectTypes,6845290519252239415,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,135.2811
2015-10-26 22:40:20.476916100,nan,,,,InsightsPortal_IN_1,Oceania,New Zealand,Auckland,Parnell,POST SupportedProjectTypes,8271774582435192540,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,146.791
2015-10-26 22:40:23.162877300,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,17768939967869427153,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.5966
2015-10-26 22:40:23.215940300,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,5915259660399663577,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.2772
2015-10-26 22:40:20.828699000,nan,Other,,Other,InsightsPortal_IN_1,Oceania,Australia,New South Wales,Sydney,HEAD ping,12038971119867542238,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.7426
2015-10-26 22:39:55.544419000,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,6279554543705049949,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.0531
2015-10-26 22:40:26.665139300,nan,,,,InsightsPortal_IN_1,Asia,Republic of Korea,,,POST SupportedProjectTypes,5044544097370056241,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,57.2881
2015-10-26 22:40:34.887431000,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,1114942152321163332,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.8305
2015-10-26 22:40:37.295650100,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,16451477970637598794,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.2533
2015-10-26 22:40:38.116648300,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,17200880792283355846,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.0211
2015-10-26 22:40:38.142099300,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,11992412712149566629,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.0048
2015-10-26 22:40:41.137283800,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,18351287802754351530,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.9201
2015-10-26 22:40:42.580327800,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,13706218665512239362,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.248
2015-10-26 22:40:50.039102700,nan,,,,InsightsPortal_IN_1,Oceania,Australia,,,POST SupportedProjectTypes,8381180798425561918,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,144.1555
2015-10-26 22:40:50.379917700,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,17324061920025892998,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.7692
2015-10-26 22:40:51.756352300,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,7541221045136495869,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.9894
2015-10-26 22:40:52.080352800,nan,Other,,Other,InsightsPortal_IN_1,North America,United States,,,HEAD ping,7257435450824269423,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.7526
