TimeStamp,Browser,BrowserVer,Os,OsVer,RoleInst,Continent,Country,Province,City,OpName,Opid,Pid,Sid,IsFirst,Aid,Name,Success,Response,UrlBase,Host,ReqDuration
2015-10-29 04:30:39.206923800,nan,,,,RD000D3A80A837,Asia,India,Kerala,Thrissur,POST SupportedProjectTypes,7758618064482620752,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,99.9861
2015-10-29 04:30:40.564511500,nan,,,,RD000D3A80A837,Asia,Vietnam,Thanh Pho Ha Noi,Hanoi,POST SupportedProjectTypes,6203999856544427436,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,35.3296
2015-10-29 04:30:40.756299800,nan,Other,,Other,RD000D3A80A837,North America,United States,,,HEAD ping,2150071039605914581,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,3.9019
2015-10-29 04:30:45.029452800,nan,,,,RD000D3A80A837,Asia,China,Guangdong,Shenzhen,POST SupportedProjectTypes,2286021481767142892,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,170.3742
2015-10-29 04:30:48.676589400,nan,,,,RD000D3A80A837,Asia,Philippines,National Capital Region,Manila,POST SupportedProjectTypes,9329557427022815929,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,23.862
2015-10-29 04:30:49.061606900,nan,,,,RD000D3A80A837,Oceania,Australia,Queensland,Toowoomba,POST SupportedProjectTypes,2933846810519316694,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,135.5007
2015-10-29 04:30:42.977348100,Internet Explorer,Internet Explorer 11.0,Windows,Windows 8.1,RD000D3A80A837,Asia,Singapore,,Singapore,GET /Content/Dynamic/AmdBundleDefinition_C0055EE023D7F37600A9915F4080057F8D75D5CD.js,1526441336703438332,,,,,GET /Content/Dynamic/AmdBundleDefinition_C0055EE023D7F37600A9915F4080057F8D75D5CD.js,True,200,/Content/Dynamic/AmdBundleDefinition_C0055EE023D7F37600A9915F4080057F8D75D5CD.js,insightsportal-prod2-asiae.cloudapp.net,5.1086
2015-10-29 04:30:49.842335800,nan,,,,RD000D3A80A837,Asia,Vietnam,Thanh Pho Ha Noi,Hanoi,POST SupportedProjectTypes,5037086418958150730,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,31.9261
2015-10-29 04:30:49.992779900,nan,Other,,Other,RD000D3A80A837,North America,United States,,,HEAD ping,10821795079055908957,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.7327
2015-10-29 04:30:50.787936800,Firefox,Firefox 41.0,Windows,Windows 10,RD000D3A80A837,Asia,India,Kashmir,Kundan,GET InsightsExtension/Index,16061934347025212840,,,,,GET InsightsExtension/Index,True,200,/InsightsExtension,stamp2.app.insightsportal.visualstudio.com,155.4026
2015-10-29 04:30:52.722460200,Chrome,Chrome 46.0,Windows,Windows 8.1,RD000D3A80A837,Asia,India,Telangana,Hyderabad,GET InsightsExtension/Index,5634352687130368612,,,,6EFE547D-1AD0-46B6-B3E7-F97E9D17D88B,GET InsightsExtension/Index,True,200,/InsightsExtension,stamp2.app.insightsportal.visualstudio.com,193.0364
2015-10-29 04:30:53.882768200,Firefox,Firefox 41.0,Windows,Windows 10,RD000D3A80A837,Asia,India,Kashmir,Kundan,GET IbizaEnvironment/GetEnvironmentShellVersions,3544988051943793511,,,,AB06BD40-15CD-45FA-9B89-4A907D3E65D6,GET IbizaEnvironment/GetEnvironmentShellVersions,True,200,/IbizaEnvironment/GetEnvironmentShellVersions,stamp2.app.insightsportal.visualstudio.com,2.5467
2015-10-29 04:30:53.938851800,nan,,,,RD000D3A80A837,Asia,China,Zhejiang Sheng,Hangzhou,POST SupportedProjectTypes,15138113196272674641,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,41.6111
2015-10-29 04:30:54.608447800,nan,,,,RD000D3A80A837,Asia,Japan,,,POST SupportedProjectTypes,4014620399403834611,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,74.2516
2015-10-29 04:30:55.625851900,nan,Other,,Other,RD000D3A80A837,North America,United States,,,HEAD ping,17343216148016392765,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,4.41
2015-10-29 04:30:55.692921300,nan,Other,,Other,RD000D3A80A837,North America,United States,,,HEAD ping,6025910219257524203,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.7802
2015-10-29 04:30:56.142513600,Chrome,Chrome 46.0,Windows,Windows 8.1,RD000D3A80A837,Asia,India,Telangana,Hyderabad,GET IbizaEnvironment/GetEnvironmentShellVersions,3080989576215681074,,,,6EFE547D-1AD0-46B6-B3E7-F97E9D17D88B,GET IbizaEnvironment/GetEnvironmentShellVersions,True,200,/IbizaEnvironment/GetEnvironmentShellVersions,stamp2.app.insightsportal.visualstudio.com,3.5365
2015-10-29 04:30:56.417432500,nan,,,,RD000D3A80A837,Asia,China,Guangdong,Shenzhen,POST SupportedProjectTypes,12369458476321044517,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,215.9401
2015-10-29 04:30:58.210011700,nan,Other,,Other,RD000D3A80A837,North America,United States,,,HEAD ping,2329674317752641595,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,5.5913
2015-10-29 04:30:59.929078600,nan,,,,RD000D3A80A837,Asia,China,Henan Sheng,Zhengzhou,POST SupportedProjectTypes,8146632985495323096,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,44.2098
2015-10-29 04:31:01.471459800,nan,,,,RD000D3A80A837,Asia,Japan,,,POST SupportedProjectTypes,6131328380297347039,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,69.7883
2015-10-29 04:31:02.745899400,nan,Other,,Other,RD000D3A80A837,North America,United States,,,HEAD ping,13221143282663671350,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.8936
2015-10-29 04:31:04.549848100,nan,Other,,Other,RD000D3A80A837,North America,United States,,,HEAD ping,3672900293238784523,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.3897
2015-10-29 04:31:04.985231900,nan,Other,,Other,RD000D3A80A837,North America,United States,,,HEAD ping,3949125370037701615,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.3576
2015-10-29 04:31:04.991725400,nan,,,,RD000D3A80A837,Asia,China,Beijing Shi,Beijing,POST SupportedProjectTypes,15415375918747004645,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,114.8321
2015-10-29 04:31:05.242819200,nan,,,,RD000D3A80A837,Oceania,Australia,,,POST SupportedProjectTypes,13081472233638753829,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,132.8634
2015-10-29 04:31:05.697225900,nan,Other,,Other,RD000D3A80A837,North America,United States,,,HEAD ping,4727746673061057105,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.0395
2015-10-29 04:31:06.741061100,nan,Other,,Other,RD000D3A80A837,North America,United States,,,HEAD ping,572138300151592759,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.3542
2015-10-29 04:31:07.380644000,nan,,,,RD000D3A80A837,Asia,China,,,POST SupportedProjectTypes,11668192799389816201,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,87.4784
2015-10-29 04:31:10.972335900,nan,,,,RD000D3A80A837,Asia,Republic of Korea,Chungcheongnam-do,Kisa,POST SupportedProjectTypes,6955173552494162681,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,49.6329
2015-10-29 04:31:11.631836800,nan,,,,RD000D3A80A837,Asia,Japan,,,POST SupportedProjectTypes,12418712785276959710,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,88.0133
2015-10-29 04:31:11.752647300,nan,Other,,Other,RD000D3A80A837,North America,United States,,,HEAD ping,13522858048902186495,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.883
2015-10-29 04:31:14.160421400,nan,,,,RD000D3A80A837,Asia,Vietnam,Thanh Pho Ha Noi,Hanoi,POST SupportedProjectTypes,15539357866293409209,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,37.2711
2015-10-29 04:31:14.720765400,nan,,,,RD000D3A80A837,Asia,Japan,T?ky?,Tokyo,POST SupportedProjectTypes,11134549719257545976,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,83.9322
2015-10-29 04:31:10.103292600,nan,,,,RD000D3A80A837,Asia,China,Beijing Shi,Beijing,POST SupportedProjectTypes,16344080035689791099,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,145.0201
2015-10-29 04:31:15.228700900,nan,Other,,Other,RD000D3A80A837,North America,United States,,,HEAD ping,17850972712492440805,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.8145
2015-10-29 04:31:24.810711500,Internet Explorer,Internet Explorer 6.0,Windows,Windows XP,RD000D3A80A837,Asia,Japan,Fukuoka,Yakuin-Horibata,GET SupportedProjectTypes,6466178039332650698,,,,,GET SupportedProjectTypes,False,405,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,25.4343
