TimeStamp,Browser,BrowserVer,Os,OsVer,RoleInst,Continent,Country,Province,City,OpName,Opid,Pid,Sid,IsFirst,Aid,Name,Success,Response,UrlBase,Host,ReqDuration
2015-10-19 07:14:43.536061500,Chrome,Chrome 46.0,Windows,Windows 8.1,RD000D3A80782E,Asia,India,Telangana,Hyderabad,GET InsightsExtension/Index,1708512453528294781,,,,435448C5-27F6-4F3E-B923-872158376977,GET InsightsExtension/Index,True,200,/InsightsExtension,stamp2.app.insightsportal.visualstudio.com,169.0551
2015-10-19 07:14:42.155887100,nan,,,,RD000D3A80782E,Asia,China,Fujian,Fuzhou,POST SupportedProjectTypes,11047653507788034706,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,54.0491
2015-10-19 07:14:44.914141500,nan,Other,,Other,RD000D3A80782E,North America,United States,,,HEAD ping,2677794869965843934,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.6845
2015-10-19 07:14:44.983164200,Chrome,Chrome 46.0,Windows,Windows 8.1,RD000D3A80782E,Asia,India,Telangana,Hyderabad,GET IbizaEnvironment/GetEnvironmentShellVersions,14949287859485357824,,,,435448C5-27F6-4F3E-B923-872158376977,GET IbizaEnvironment/GetEnvironmentShellVersions,True,200,/IbizaEnvironment/GetEnvironmentShellVersions,stamp2.app.insightsportal.visualstudio.com,2.1692
2015-10-19 07:14:46.886443600,nan,,,,RD000D3A80782E,Asia,Taiwan,Taipei,Taipei,POST SupportedProjectTypes,16070389955713491813,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,38.66
2015-10-19 07:14:47.684733400,nan,Other,,Other,RD000D3A80782E,Oceania,Australia,New South Wales,Sydney,HEAD ping,7408951894355047020,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,4.0452
2015-10-19 07:14:48.327705200,nan,,,,RD000D3A80782E,Asia,Philippines,,,POST SupportedProjectTypes,583162547268478896,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,114.1034
2015-10-19 07:14:48.877256000,nan,,,,RD000D3A80782E,Asia,Philippines,,,POST SupportedProjectTypes,8307647708475891712,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,168.0961
2015-10-19 07:14:49.853570700,nan,,,,RD000D3A80782E,Asia,China,Hubei,Wuhan,POST SupportedProjectTypes,9750039665514371191,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,40.4324
2015-10-19 07:14:54.034718400,nan,Other,,Other,RD000D3A80782E,North America,United States,,,HEAD ping,7954723678729009943,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,4.0538
2015-10-19 07:14:54.808416200,nan,Other,,Other,RD000D3A80782E,North America,United States,,,HEAD ping,15617513939047798880,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,4.1418
2015-10-19 07:14:55.541667600,nan,,,,RD000D3A80782E,Oceania,Australia,New South Wales,,POST SupportedProjectTypes,18328660048517457204,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,129.4964
2015-10-19 07:14:55.750807400,nan,,,,RD000D3A80782E,Asia,China,Shanghai Shi,Shanghai,POST SupportedProjectTypes,83226554166294587,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,89.9928
2015-10-19 07:14:55.867899500,nan,,,,RD000D3A80782E,Asia,Thailand,Bangkok,Bangkok,POST SupportedProjectTypes,5319762781252100593,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,117.2462
2015-10-19 07:14:57.030994400,nan,,,,RD000D3A80782E,Asia,Japan,,,POST SupportedProjectTypes,8440492692001756021,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,82.2048
2015-10-19 07:14:59.603674700,nan,,,,RD000D3A80782E,Asia,India,Telangana,Secunderabad,POST SupportedProjectTypes,7546612871469694597,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,81.0241
2015-10-19 07:14:59.706843900,nan,,,,RD000D3A80782E,Asia,China,Shanghai Shi,Shanghai,POST SupportedProjectTypes,6111913902989124084,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,128.3717
2015-10-19 07:15:00.979044000,nan,Other,,Other,RD000D3A80782E,North America,United States,,,HEAD ping,9302153493173671938,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.8684
2015-10-19 07:15:01.860711700,nan,Other,,Other,RD000D3A80782E,North America,United States,,,HEAD ping,16244022366795732628,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.0666
2015-10-19 07:15:02.124891800,nan,,,,RD000D3A80782E,Asia,China,Guangdong,Guangzhou,POST SupportedProjectTypes,6829937233811277132,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,10.8483
2015-10-19 07:15:03.146464000,nan,Other,,Other,RD000D3A80782E,North America,United States,,,HEAD ping,9640097223827895112,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,2.9006
2015-10-19 07:15:03.289075100,nan,,,,RD000D3A80782E,Asia,Japan,,,POST SupportedProjectTypes,13545691530077539725,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,64.4282
2015-10-19 07:15:07.107675700,nan,,,,RD000D3A80782E,Asia,Philippines,,,POST SupportedProjectTypes,2946489345225778758,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,123.307
2015-10-19 07:15:08.825191100,nan,Other,,Other,RD000D3A80782E,North America,United States,,,HEAD ping,17386758634707603776,,,,,HEAD ping,True,204,/api/ping,insightsportal-prod2-asiae.cloudapp.net,1.7611
2015-10-19 07:15:08.718306500,nan,,,,RD000D3A80782E,Asia,China,Chongqing Shi,Chongqing,POST SupportedProjectTypes,3479494525259446523,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,40.9984
2015-10-19 07:15:10.596178000,nan,,,,RD000D3A80782E,Asia,China,Sichuan Sheng,Chengdu,POST SupportedProjectTypes,10763857915135782286,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,121.9733
2015-10-19 07:15:11.288982700,nan,,,,RD000D3A80782E,Asia,China,Sichuan Sheng,Chengdu,POST SupportedProjectTypes,11371532825722911888,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,120.1423
2015-10-19 07:15:12.463369800,nan,,,,RD000D3A80782E,Asia,China,Sichuan Sheng,Chengdu,POST SupportedProjectTypes,15174376481585491620,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,119.7512
2015-10-19 07:15:15.476266900,nan,,,,RD000D3A80782E,Asia,China,Jilin Sheng,Changchun,POST SupportedProjectTypes,3592906822689388246,,,,,POST SupportedProjectTypes,True,200,/api/SupportedProjectTypes,stamp2.app.insightsportal.visualstudio.com,727.4828
